feedback_id,date,customer_id,product,channel,rating,sentiment,feedback_category,feedback
1,2024-01-02,CUST9431,HDMI Cable,In-Store,4,Positive,Billing & Payment,"Billing was accurate, just took a bit to receive the receipt."
2,2024-01-06,CUST3252,Monitor,WhatsApp,5,Positive,Product Quality,"Materials feel sturdy and well made, no complaints at all."
3,2024-01-07,CUST1257,Monitor,WhatsApp,4,Positive,Billing & Payment,"Checkout was mostly smooth, one small hiccup with the payment gateway. Will be ordering from here again."
4,2024-01-07,CUST6751,Router,Mobile App,4,Positive,Returns & Refunds,Refund took slightly longer than promised but eventually came through. Highly recommend based on this experience.
5,2024-01-10,CUST3474,Keyboard,Mobile App,4,Positive,App & Website,"Mostly smooth app experience, one small glitch during checkout."
6,2024-01-10,CUST2188,Screen Protector,Phone,2,Negative,Product Quality,The Screen Protector feels a bit flimsy compared to the product photos.
7,2024-01-13,CUST6590,USB Hub,Phone,4,Positive,Product Quality,"Solid USB Hub, holding up fine after a couple weeks of daily use."
8,2024-01-15,CUST7464,Mechanical Keyboard,Email,1,Negative,App & Website,Can't update my delivery address anywhere on the account page. Not planning to purchase from here again.
9,2024-01-16,CUST9856,HDMI Cable,Website,1,Negative,Billing & Payment,Was overcharged and support has not corrected it after several follow-ups.
10,2024-01-20,CUST2298,Screen Protector,Email,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well. Would definitely buy again."
11,2024-01-27,CUST2692,Mechanical Keyboard,Website,4,Positive,Delivery & Shipping,"The Mechanical Keyboard arrived intact, delivery window was reasonably accurate. Will be ordering from here again."
12,2024-01-27,CUST9094,Earbuds,Email,1,Negative,Product Quality,"Very poor build quality, definitely not worth the price."
13,2024-02-01,CUST1659,Keyboard,Mobile App,5,Positive,App & Website,Loved how simple the app made the whole ordering process. Would definitely buy again.
14,2024-02-02,CUST8734,Mechanical Keyboard,Email,4,Positive,Delivery & Shipping,Delivery took a little longer than expected but arrived safely. Would definitely buy again.
15,2024-02-02,CUST4968,Smart Watch,WhatsApp,2,Negative,Customer Service,Support was polite but couldn't actually resolve my issue.
16,2024-02-07,CUST8498,Earbuds,Email,3,Neutral,General/Overall Experience,"An average experience overall, nothing particularly stood out."
17,2024-02-08,CUST5742,Power Bank,Website,5,Positive,Returns & Refunds,Return process was quick and the refund landed within 2 days. Really happy with how this turned out.
18,2024-02-09,CUST5349,HDMI Cable,Website,3,Neutral,General/Overall Experience,"An average experience overall, nothing particularly stood out. Could go either way on ordering again."
19,2024-02-13,CUST8325,Smart Watch,In-Store,3,Neutral,Product Quality,"The Smart Watch is fine, about what I'd expect at this price. It is what it is, gets the job done."
20,2024-02-15,CUST5919,Screen Protector,In-Store,3,Neutral,Billing & Payment,"Payment process was average, nothing to complain about. Might reconsider depending on future experiences."
21,2024-02-16,CUST6053,Monitor,Mobile App,4,Positive,Billing & Payment,"Checkout was mostly smooth, one small hiccup with the payment gateway."
22,2024-02-18,CUST2996,Bluetooth Headphones,Mobile App,5,Positive,Delivery & Shipping,The Bluetooth Headphones was carefully packaged and reached me in 8 days flat. Would definitely buy again.
23,2024-02-19,CUST6781,Screen Protector,Website,1,Negative,Delivery & Shipping,Requested a pickup for return 5 days ago and it still hasn't happened. Really hope this gets fixed soon.
24,2024-02-21,CUST1349,Webcam,Email,1,Negative,General/Overall Experience,Overall a frustrating experience I wouldn't want to repeat.
25,2024-02-24,CUST6666,USB Hub,Website,2,Negative,Product Quality,Already showing wear after just a couple of weeks.
26,2024-02-25,CUST1745,Mechanical Keyboard,WhatsApp,5,Positive,Product Quality,"The build quality is excellent, feels premium for the price. Highly recommend based on this experience."
27,2024-02-27,CUST6313,Mechanical Keyboard,Mobile App,1,Negative,Product Quality,The Mechanical Keyboard stopped functioning after less than a week.
28,2024-03-03,CUST1510,Bluetooth Headphones,Phone,1,Negative,App & Website,"Website timed out repeatedly, couldn't finish my order. Left me quite disappointed overall."
29,2024-03-04,CUST7812,Phone Case,Mobile App,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well. Will be ordering from here again."
30,2024-03-06,CUST2862,Earbuds,Phone,5,Positive,Product Quality,"The build quality is excellent, feels premium for the price. Can't complain at all, great experience."
31,2024-03-08,CUST6482,Laptop Bag,Email,4,Positive,Returns & Refunds,"Return process was smooth, just a small delay in pickup."
32,2024-03-09,CUST8179,Smart Watch,Mobile App,4,Positive,Customer Service,"Reasonably good support experience, resolved within a day. Really happy with how this turned out."
33,2024-03-13,CUST6413,Keyboard,WhatsApp,2,Negative,Delivery & Shipping,Delivery took 3 days instead of the promised 3. Not great. Not planning to purchase from here again.
34,2024-03-15,CUST1647,Power Bank,Mobile App,5,Positive,App & Website,"Loved how simple the app made the whole ordering process. Can't complain at all, great experience."
35,2024-03-17,CUST1939,Router,In-Store,4,Positive,Returns & Refunds,"Return process was smooth, just a small delay in pickup."
36,2024-03-18,CUST4249,Power Bank,WhatsApp,1,Negative,Customer Service,No response to my email even after 8 days.
37,2024-03-21,CUST7955,Router,Phone,4,Positive,App & Website,"Mostly smooth app experience, one small glitch during checkout."
38,2024-03-21,CUST5712,Earbuds,Email,1,Negative,App & Website,Can't update my delivery address anywhere on the account page. Not planning to purchase from here again.
39,2024-03-24,CUST7326,Bluetooth Headphones,Email,4,Positive,General/Overall Experience,"Pretty satisfied overall, would consider ordering again. Really happy with how this turned out."
40,2024-03-25,CUST3807,Power Bank,Phone,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well. Will be ordering from here again."
41,2024-03-26,CUST1444,Phone Charger,In-Store,1,Negative,Returns & Refunds,"My return was marked complete but the refund never showed up. Second time this has happened, unfortunately."
42,2024-03-27,CUST6626,Screen Protector,WhatsApp,5,Positive,Billing & Payment,Checkout was smooth and the final bill matched exactly what was shown.
43,2024-03-28,CUST5978,Earbuds,Mobile App,5,Positive,Billing & Payment,Checkout was smooth and the final bill matched exactly what was shown.
44,2024-03-28,CUST4130,Mechanical Keyboard,Mobile App,2,Negative,Returns & Refunds,"Return label they sent didn't work on the first try. Second time this has happened, unfortunately."
45,2024-03-28,CUST7227,Laptop Stand,WhatsApp,3,Neutral,Product Quality,"The Laptop Stand is fine, about what I'd expect at this price."
46,2024-04-03,CUST1502,USB Hub,In-Store,3,Neutral,Returns & Refunds,"Refund came through eventually, nothing remarkable either way."
47,2024-04-04,CUST1832,Bluetooth Headphones,In-Store,4,Positive,Delivery & Shipping,"Shipping was reliable overall, just wish tracking updates were more frequent. Highly recommend based on this experience."
48,2024-04-04,CUST7079,USB Hub,WhatsApp,5,Positive,Product Quality,"Top-notch quality, this USB Hub feels built to last."
49,2024-04-05,CUST9624,Phone Case,In-Store,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well."
50,2024-04-05,CUST2398,Monitor,Phone,4,Positive,Product Quality,"Does the job well, though the finish could be a touch better. Would definitely buy again."
51,2024-04-13,CUST4814,Wireless Mouse,Phone,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed."
52,2024-04-14,CUST5419,HDMI Cable,Mobile App,4,Positive,Delivery & Shipping,"Shipping was reliable overall, just wish tracking updates were more frequent. Would definitely buy again."
53,2024-04-18,CUST8052,Power Bank,Website,3,Neutral,Customer Service,"Support responded eventually, nothing remarkable about the experience."
54,2024-04-18,CUST8155,Screen Protector,Mobile App,1,Negative,Billing & Payment,Money was deducted but I never received an order confirmation. Not planning to purchase from here again.
55,2024-04-20,CUST7086,Router,In-Store,3,Neutral,Customer Service,"Support responded eventually, nothing remarkable about the experience. Neither impressed nor disappointed, just okay."
56,2024-04-21,CUST6559,Laptop Bag,Mobile App,2,Negative,Delivery & Shipping,Delivery took 8 days instead of the promised 3. Not great.
57,2024-04-26,CUST8827,Laptop Bag,Website,3,Neutral,Billing & Payment,"Billing was fine, though the invoice took a while to generate."
58,2024-04-26,CUST9394,Laptop Stand,Email,3,Neutral,Customer Service,"Customer service was average, could be a bit more proactive. Could go either way on ordering again."
59,2024-04-27,CUST7022,Keyboard,Email,5,Positive,Customer Service,"Customer support was excellent, quick and clear communication throughout. Highly recommend based on this experience."
60,2024-04-30,CUST6131,USB Hub,Mobile App,2,Negative,App & Website,Website felt slow and laggy during checkout. Really hope this gets fixed soon.
61,2024-05-04,CUST8941,Wireless Mouse,Website,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed."
62,2024-05-08,CUST2208,Laptop Stand,Email,2,Negative,General/Overall Experience,Buying the Laptop Stand was more hassle than it should have been.
63,2024-05-08,CUST5496,USB Hub,In-Store,5,Positive,General/Overall Experience,"Best purchase I've made this year, absolutely love it. Really happy with how this turned out."
64,2024-05-12,CUST3981,Bluetooth Headphones,Phone,3,Neutral,Customer Service,"Support responded eventually, nothing remarkable about the experience. Could go either way on ordering again."
65,2024-05-12,CUST7421,Wireless Mouse,WhatsApp,5,Positive,Customer Service,"Amazing customer service, they went out of their way to help."
66,2024-05-13,CUST3370,Phone Charger,WhatsApp,5,Positive,App & Website,"Website is well designed, easy to find exactly what I needed."
67,2024-05-16,CUST4590,Desk Lamp,Phone,2,Negative,App & Website,Website felt slow and laggy during checkout. Really hope this gets fixed soon.
68,2024-05-17,CUST9683,Mechanical Keyboard,Phone,3,Neutral,Delivery & Shipping,"Delivery was on time, nothing special to mention either way. Neither impressed nor disappointed, just okay."
69,2024-05-19,CUST8939,Laptop Bag,Mobile App,4,Positive,Delivery & Shipping,"Arrived on time and in good condition, packaging could be a bit sturdier. Would definitely buy again."
70,2024-05-20,CUST1637,Bluetooth Headphones,In-Store,5,Positive,App & Website,"App experience is fantastic, everything loads fast and works well. Would definitely buy again."
71,2024-05-24,CUST5061,HDMI Cable,Website,4,Positive,Customer Service,Support agent was courteous and got my issue sorted eventually. Will be ordering from here again.
72,2024-05-27,CUST1251,HDMI Cable,Phone,1,Negative,Returns & Refunds,Refund has not been processed even after multiple follow-ups. Left me quite disappointed overall.
73,2024-06-01,CUST9022,Wireless Mouse,Phone,5,Positive,Product Quality,"Top-notch quality, this Wireless Mouse feels built to last. Can't complain at all, great experience."
